title,ratings,number_ratings,price,discount,discount_percentage
Generic 32 Inch 720p HD LED Flat Panel TV With IPS Screen With USB Port Overvoltage Protection,4,4,90000,57000,37
Horizon 32 Inches Full HD LED TV + Free Wall Hanger + Power Guard + HDMI Cable,4.5,47,70000,63900,9
"Infinity 32"" Inches Full HD LED Tv + Free Wall Hanger & HDMI Wire",4.6,19,98000,59899,39
Infinix 32'' Inch Smart Android  TV,4.5,216,120000,96000,20
"itel 32"" Inches A3240GE ICast Feature & Overvoltage Protection",4.8,63,162330,58400,64
Infinix 32'' Inch  Smart Android  TV,4.5,119,100500,96000,4
"WEYON 40"" Inches LED TV  +1 Years Warranty - Black",4.6,79,140000,96100,31
WEYON 32 Inches LED TV,4.3,306,62000,48990,21
"WEYON 39"" Inches LED TV  +1 Years Warranty - Black",5,2,130000,89100,31
"Hisense 50-Inch Smart UHD 4K TV Black, With Bluetooth",4.6,35,291300,227700,22
"LG 50'' 4K UHD Smart  TV+Netflix,YouTube APP & Apple Airplay",4.6,63,370900,325000,12
"Amani 40""INCHES FULL HD LED TV NEW 2021 WITH 1YEAR WARRANTY",4.5,27,110000,90000,18
UKA 24 INCH LED TV T24E01 - Black,4.2,15,82351,42999,48
Hisense 43''Smart TV + Netflix&Youtube APP 12 Months Warranty-,4.8,28,199600,178000,11
Kuhl 43 Inch Full HD LED TV,1,,143988,97990,32